item	type	count
WORD/river	word	84270
WORD/fläche	word	84087
WORD/führen	word	84082
WORD/eher	word	84079
WORD/ausgezeichnet	word	84011
WORD/offizielle	word	83969
WORD/daneben	word	83837
WORD/albert	word	83731
WORD/1911	word	83671
WORD/co	word	83660
WORD/jungen	word	83520
WORD/britischer	word	83505
WORD/entfernt	word	83488
WORD/erbaut	word	83434
WORD/louis	word	83204
WORD/projekt	word	83093
WORD/besten	word	82977
WORD/sollen	word	82827
WORD/finale	word	82664
WORD/sollten	word	82637
WORD/1905	word	82544
WORD/z	word	82465
WORD/les	word	82313
WORD/fort	word	82091
WORD/hof	word	81892
WORD/japan	word	81865
WORD/los	word	81852
WORD/anzahl	word	81814
WORD/neun	word	81731
WORD/schiff	word	81708
WORD/1907	word	81399
WORD/ersetzt	word	81258
WORD/müller	word	81174
WORD/hauptsächlich	word	81106
WORD/1908	word	81095
WORD/bremen	word	81074
WORD/bonn	word	80764
WORD/brachte	word	80729
WORD/großer	word	80611
WORD/zahlreichen	word	80464
WORD/klaus	word	80303
WORD/gruppen	word	80284
WORD/mitarbeiter	word	80187
WORD/college	word	80185
WORD/frank	word	80052
WORD/wollte	word	80050
WORD/darstellung	word	79946
WORD/mark	word	79741
WORD/beteiligt	word	79642
WORD/bestehen	word	79618
WORD/würde	word	79618
WORD/département	word	79591
WORD/fritz	word	79412
WORD/russischen	word	79366
WORD/90	word	79343
WORD/vertreter	word	79262
WORD/gegensatz	word	79247
WORD/sammlung	word	79130
WORD/fluss	word	78850
WORD/wappen	word	78832
WORD/westfalen	word	78691
WORD/eröffnet	word	78638
WORD/weiß	word	78592
WORD/meisterschaft	word	78591
WORD/schüler	word	78425
WORD/friedhof	word	78416
WORD/heraus	word	78382
WORD/aktiv	word	78271
WORD/heinz	word	78175
WORD/tv	word	78118
WORD/kapelle	word	77985
WORD/soldaten	word	77984
WORD/öffentlichen	word	77910
WORD/knapp	word	77830
WORD/adolf	word	77744
WORD/mindestens	word	77675
WORD/1917	word	77380
WORD/keinen	word	77379
WORD/1906	word	77274
WORD/club	word	77234
WORD/bezirk	word	77139
WORD/gesamte	word	77111
WORD/fest	word	77063
WORD/school	word	77026
WORD/nächsten	word	76846
WORD/bilden	word	76840
WORD/dienst	word	76798
WORD/cup	word	76769
WORD/zugleich	word	76703
WORD/zeitpunkt	word	76696
WORD/jazz	word	76685
WORD/verfügung	word	76641
WORD/erfolgreich	word	76363
WORD/verlor	word	76300
WORD/1909	word	76281
WORD/fußball	word	76277
WORD/wir	word	76240
WORD/nie	word	75797
WORD/alfred	word	75714
WORD/langen	word	75648
WORD/inzwischen	word	75615
WORD/lied	word	75572
WORD/unterstützung	word	75254
WORD/politik	word	75175
WORD/2018	word	75145
WORD/lebte	word	75144
WORD/no	word	75108
WORD/abschluss	word	75105
WORD/italienischer	word	75060
WORD/anton	word	75057
WORD/hielt	word	75046
WORD/darin	word	75015
WORD/1904	word	74968
WORD/liebe	word	74939
WORD/trägt	word	74890
WORD/lebt	word	74869
WORD/leicht	word	74864
